fid,objectid,area,perimeter,air_020107,air_20108,r_code,ind_name,aiana,aiana_desc,ind_source,ind_scale,entity,org_code,fed_regist,region_cod,region_nam,agency_nam,self_gover,osgt_code,osgt_assoc,native_cor,mail_name,state,cnty_st,tot_area,tribe_area,allot_area,fed_area,labor_tot,hsgrad_pct,colgrad_pc,unemploy_p,inc_percap,pop_tot,tribal_num,treaty,tribal_est,gov_type,econ_sourc,gaming,med_fac,sq_miles,acres,agency_cod,poi_on_ima,field_veri,shape_leng,shape_le_1,shape_le_2,irmp_plan,short_name,shape_le_3,shape_area
10,0,9797.217601,395.932572,9527,1612,T901,Alabama-Quassarte Tribal Town of the Creek Nation of Oklahom,FRTE,Federally Recognized Tribal Entity,GDSC,"1:100,000","Alabama-Quassarte Tribal Town,Oklahoma",G07901,true,EOK,Eastern Oklahoma,Okmulgee Field Office,false,,,,Alabama Quassarte Tribal Town,OK,"Okmulgee, OK",878,825,0,0,248,0,0,40,0,0,0,"Act of Congress on June 26, 1936","Constitution & bylaws adopted on May 24, 1939",Business Committee,"Tourism, government as employer",false,"Health care received at the regional Creek Nation facilities, hospitals in Muskogee & Tulsa",0.003783,2.420927,G07,,,395.9328,0,0,,,395.9328,9797.22886
11,0,18118897.5623,24962.744296,11031,23,R830,Alabama and Coushatta Reservation,AIR,American Indian Reservation,TIGER95,"1:100,000",Alabama-Coushatta Tribes of Texas,B00830,true,SPL,Southern Plains,Southern Plains Region,false,,,,Alabama and Coushatta Tribes,TX,"Polk, TX",4504,0,0,0,234,66.2,5.9,25,5776,0,890,"Early 1800s, 1859 Coushatta Tribe joined Alabama Tribe",Constitution adopted under IRA,Tribal Council,"Tourism, government as employer",false,Medical care received at Tyler County Hospital in Woodville and John Sealy Hospital in Galveston,6.995716,4477.178629,B00,,,24962.744192,0,0,,,24962.744192,18118897.7279
12,0,1535278.18853,4468.752655,38,11165,Z008,Alakanuk,ANV,Alaska Native Village,TIGER95,"1:100,000",Village of Alakanuk,E02008,true,ALA,Alaska,Bethel Field Office,true,OSGT812,Assoc. Village Council Presidents,Calista Corporation,Alakanuk Native Corporation,AK,unorganized borough AK,138240,0,0,0,162,44.4,3.3,26.8,4728,544,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1969),Traditional village council,Fishing; government,false,clinic,0.864897,379.36709,E02,,,4468.752675,0,0,,,4468.752675,1535278.20544
13,0,1535352.68209,4552.930799,64,11139,Z010,Alatna,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Alatna Village,E03010,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.","K'oyitl'ots'ina, Ltd.",AK,unorganized borough AK,69120,0,0,0,0,81.8,0,100,3639,31,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Traditional council,Subsistence,false,"none, clinic in neighboring Allakaket",39.405434,379.38549,E03,,,4552.930817,0,0,,,4552.930817,1535352.69845
14,0,1532583.69564,4427.39791,134,11069,Z011,Aleknagik,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Aleknagik,E01011,true,ALA,Alaska,Anchorage Field Office,true,OSGT809,Bristol Bay Native Assn.,Bristol Bay Native Corporation,Aleknagik Natives Ltd.,AK,unorganized borough AK,118340,0,0,0,56,55.9,3.2,14.3,8010,185,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1973),Village council,Government; fishing; construction,false,clinic,5.401873,378.701292,E01,,,4427.397937,0,0,,,4427.397937,1532583.7118
15,0,1534009.34287,4458.046521,59,11144,Z456,Algaaciq (St. Mary's),ANV,Alaska Native Village,CENSUS2000,"1:500,000",Algaaciq Native Village (St. Mary's),E02456,true,ALA,Alaska,Bethel Field Office,true,OSGT812,Assoc. Village Council Presidents,Calista Corporation,St. Mary's Native Corporation,AK,unorganized borough AK,115200,0,0,0,185,53.8,0,19.2,2781,441,0,Alaska Native Claims Settlement Act (1971),Incorporated as a first-class city (1967),Traditional village council,Government; construction; fishing,false,clinic,48.041655,379.053503,E02,,,4458.046516,0,0,,,4458.046516,1534009.3369
16,0,1534040.61354,4550.805724,68,11135,Z013,Allakaket,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Allakaket Village,E03013,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.","K'oyitl'ots'ina, Ltd.",AK,unorganized borough AK,92160,0,0,0,72,30.6,0,69.4,4645,170,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1975),Traditional village council headed by a chief,Subsistence; government; public service,false,clinic,4.130469,379.061386,E03,,,4550.805718,0,0,,,4550.805718,1534040.59871
17,0,125625221.631,114523.139199,5813,5386,TX04,Allegany Reservation,AIR,American Indian Reservation,TIGER95,"1:100,000",Seneca Nation of New York,S51004,true,EAS,Eastern,New York Field Office,false,,,,Seneca Nation of Indians,NY,"Cattaraugus, NY",30189,0,0,0,470,68.9,3.1,21.5,7671,7312,0,1794 Pickering Treaty,Constitution adopted in 1848,Tribal Council which alternates residence between Allegany & Cattaraugus Reservations,"Agriculture, forestry, government as employer, mining, retail/service businesses, tourism",true,Seneca Nation Health Department provides services to Allegany & Cattaraugus reservations,48.503978,31041.99547,S51,,,114523.139477,0,0,,,114523.139477,125625221.249
18,0,93050.354374,1333.056833,2546,8653,R502,Alturas Rancheria,AIR,American Indian Reservation,TIGER95,"1:100,000","Alturas Indian Rancheria, California",J52502,true,PAC,Pacific,No. California Field Office,false,,,,Alturas Rancheria,CA,Modoc CA,0,0,0,0,0,0,0,0,0,0,0,,,,,true,,0.035927,22.99291,J52,,,1333.056933,0,0,,,1333.056933,93050.371486
19,0,1535383.96575,4568.13479,31,11172,Z014,Ambler,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Ambler,E04014,true,ALA,Alaska,Nome Agency,true,OSGT004,Maniilaq Association,NANA Regional Corporation,NANA Corporation,AK,Northwest Arctic Borough AK,92160,0,0,0,91,41.5,2.1,39.3,4905,311,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1971),Traditional village council,Subsistence; basket making; government; mining,false,clinic,13.089832,379.393574,E04,,,4568.134729,0,0,,,4568.134729,1535383.93746
20,0,1534028.03183,4603.438755,49,11154,Z016,Anaktuvuk Pass,ANV,Alaska Native Village,TIGER95,"1:100,000",Village of Anaktuvuk Pass,E03016,true,ALA,Alaska,Fairbanks Field Office,false,,,Arctic Slope Regional Corporation,Nunamiut Corporation,AK,North Slope Borough AK,92160,0,0,0,110,58.3,0,23.6,8969,259,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1957),Traditional tribal council,Subsistence hunting; government; construction,false,clinic,13.966429,379.057963,E03,,,4603.438732,0,0,,,4603.438732,1534028.02756
21,0,1535309.53067,4459.771717,56,11147,Z019,Andreafski,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Yupiit of Andreafski,E02019,true,ALA,Alaska,Bethel Field Office,true,OSGT812,Assoc. Village Council Presidents,Calista Corporation,Village of Andreafsky,AK,unorganized borough AK,69120,0,0,0,172,63.1,3.8,18.6,6769,410,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Traditional village council,Fishing; subsistence; transportation; government,false,clinic,2.214323,379.374925,E02,,,4459.771679,0,0,,,4459.771679,1535309.50623
22,0,1526056.50065,4410.112964,217,10986,Z020,Angoon,ANV,Alaska Native Village,TIGER95,"1:100,000",Angoon Community Association,E09020,true,ALA,Alaska,Southeast Agency,true,OSGT801,Central Council of Tlingit & Haida Indian Tribes of Alaska,Sealaska Corporation,"Kootznoowoo, Incorporated",AK,unorganized borough AK,23040,0,0,0,276,63.4,1.3,35.1,6895,638,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1963),Indian Reorganization Act tribal council,Fishing; subsistence; government; education,false,clinic,19.214536,377.088436,E09,,,4410.112975,0,0,,,4410.112975,1526056.50297
23,0,1533977.24924,4451.803547,103,11100,Z021,Aniak,ANV,Alaska Native Village,TIGER95,"1:100,000",Village of Aniak,E02021,true,ALA,Alaska,Bethel Field Office,false,,,Calista Corporation,Kuskokwim Corporation,AK,unorganized borough AK,115200,0,0,0,238,64.7,3.3,9.7,7093,540,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1972),Traditional council,Public service; retail; government; transportation,false,clinic,6.0533,379.045751,E02,,,4451.803603,0,0,,,4451.803603,1533977.27355
24,0,342743589.284,181881.414497,228,10975,R199,Annette Island Reserve,AIR,American Indian Reservation,TIGER95,"1:100,000","Metlakatla Indian Community, Annette Island Reserve",P15199,true,NWT,Northwest,Metlakatla Field Office,true,OSGT199,,,Metlakatla Indian Community,AK,unorganized borough AK,86000,0,0,0,577,73.5,3.5,20.6,10903,1464,2432,Executive Order 1887,IRA constitution,Tribal council,Fishing; forestry; construction; government; manufacturing; retail; transportation; tourism,true,clinic,132.333507,84691.941834,P15,,,181881.413029,0,0,,,181881.413029,342743589.801
25,0,1533994.96386,4466.71261,76,11127,Z022,Anvik,ANV,Alaska Native Village,TIGER95,"1:100,000",Anvik Village,E03022,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.","Ingalik, Inc.",AK,unorganized borough AK,92223,0,0,0,22,70.7,0,13.6,5015,82,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1969),Traditional village council headed by a chief,Subsistence; government; manufacturing; retail,false,clinic,13.802311,379.050086,E03,,,4466.712604,0,0,,,4466.712604,1533994.96278
26,0,9797.56926,395.939726,10522,610,R802,Apache Tribe of Oklahoma,FRTE,Federally Recognized Tribal Entity,GDSC,"1:24,000",Apache Tribe of Oklahoma,B06809,true,SPL,Southern Plains,Anadarko Agency,false,,,,,OK,Caddo OK,0,0,0,0,0,0,0,0,0,0,0,,,,,true,,0.187931,2.420927,B06,,,395.9396,0,0,,,395.9396,9797.563001
27,0,1534043.83844,4602.596858,86,11117,Z025,Arctic Village,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Native Village of Venetie Tribal Government (Arctic Village),E03025,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.",Arctic Village,AK,unorganized borough AK,1800000,0,0,0,32,50,5.3,12.5,4536,96,0,,Unincorporated,Traditional village council headed by a chief,Government; subsistence,false,clinic,69.830372,379.062465,E03,,,4602.59685,0,0,,,4602.59685,1534043.82054
28,0,9797.212816,395.932572,385,10818,T031,Aroostook Band of Micmac Indians of Maine,FRTE,Federally Recognized Tribal Entity,GDSC,"1:24,000",Aroostook Band of Micmac Indians of Maine,S00031,true,EAS,Eastern,Eastern Regional Office,false,,,,Aroostook Band of Micmac Indians,ME,"Aroostook, ME",100,0,0,0,0,0,0,0,0,643,965,Commonwealth of Massachusetts July 1776,Settlement acts of 1980 and 1991,"8 member Board of Directors, biennially-elected president","Government as employer, basketry, retail businesses, fisheries,",false,"IHS medical services available at Aroostook Medical Center, members also use Carey Medical Center",0.845782,2.420927,S00,,,395.9326,0,0,,,395.9326,9797.214213
29,0,1533975.86261,4458.477807,53,11150,Z323,Asa'carsarmiut Tribe,ANV,Alaska Native Village,TIGER95,"1:100,000",Asa`carsarmiut Tribe (formerly Native Village of Mountain Village),E02323,true,ALA,Alaska,Bethel Field Office,false,,,Calista Corporation,"Azachorok, Incorporated",AK,unorganized borough AK,138240,0,0,0,221,51.1,2.1,36.7,5598,674,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1967),Traditional village council,Fishing; government; construction; retail; subsistence,false,clinic,5.449983,379.045508,E02,,,4458.477795,0,0,,,4458.477795,1533975.85966
30,0,1509743.22179,4360.215835,118,11085,Z027,Atka,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Native Village of Atka,E01027,true,ALA,Alaska,Anchorage Field Office,true,OSGT811,"Aleutian/Pribilof Islands Assoc., Inc.",Aleut Corporation,Atxam Corporation,AK,unorganized borough AK,102917,0,0,0,35,76.6,0,25.7,6007,73,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1988),Indian Reorganization Act council,Fishing; government; subsistence,true,"clinic, closest full service clinic Unalaska",8.961384,373.057763,E01,,,4360.215828,0,0,,,4360.215828,1509743.21658
31,0,1535342.97574,4445.054787,84,11119,Z029,Atmautluak,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Village of Atmautluak,E02029,true,ALA,Alaska,Bethel Field Office,false,,,Calista Corporation,"Atmauthluak, Limited",AK,unorganized borough AK,92160,0,0,0,91,33.3,0,25.3,3436,258,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Traditional council,Subsistence; construction; government; fishing; transportation,false,clinic,3.362352,379.383004,E02,,,4445.054801,0,0,,,4445.054801,1535342.98279
32,0,1531089.07619,4710.195128,14,11189,Z028,Atqasuk (Atkasook),ANV,Alaska Native Village,TIGER95,"1:100,000",Atqasuk Village (Atkasook),E03028,true,ALA,Alaska,Fairbanks Field Office,false,,,Arctic Slope Regional Corporation,Atqasuk Corporation,AK,North Slope Borough AK,69120,0,0,0,111,46.7,0,29.7,12084,216,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1982),Traditional village council,Subsistence; construction; government,false,clinic,44.716483,378.332011,E03,,,4710.19519,0,0,,,4710.19519,1531089.11081
33,0,2618413.72195,6473.700089,9601,1537,R567,Augustine Reservation,AIR,American Indian Reservation,TIGER95,"1:100,000","Augustine Band of Cahuilla Mission Indians of the Augustine Reservation, California",J54567,true,PAC,Pacific,Southern California Agency,false,,,,Augustine Band of Mission Indians,CA,Riverside CA,0,0,0,0,0,0,0,0,0,0,0,,,,,false,,1.010971,647.010111,J54,,,6473.700134,0,0,,,6473.700134,2618413.75675
34,0,504464436.054,134948.626174,1480,9723,R430,Bad River Reservation,AIR,American Indian Reservation,LTM,"1:24,000","Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",F55430,true,MID,Midwest,Great Lakes Agency,false,,,,Bad River Band of Lake Superior Chippewa Indians,WI,Ashland; Iron  WI,60985,60985,33106,56817,925,0,0,81,0,1538,5765,Treaty of LaPointe in 1854,Constitution & bylaws in 1936; constitution & corporate charter ratified in 1938,Tribal Council & Tribal Enterprise Zone,"Fish hatchery, wood product manufacturing, wild rice, government as employer",true,Clinic contracts with local health care providers,194.774021,124653.162014,F55,,,134948.626272,0,0,,,134948.626272,504464436.292
35,0,273088.342328,3401.8587,1496,9707,R430,Bad River Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,LTM,"1:24,000","Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",F55430,true,MID,Midwest,Great Lakes Agency,false,,,,Bad River Band of Lake Superior Chippewa Indians,WI,Ashland; Iron  WI,60985,60985,33106,56817,925,0,0,81,0,1538,5765,Treaty of LaPointe in 1854,Constitution & bylaws in 1936; constitution & corporate charter ratified in 1938,Tribal Council & Tribal Enterprise Zone,"Fish hatchery, wood product manufacturing, wild rice, government as employer",true,Clinic contracts with local health care providers,0.10544,67.480223,F55,,,3401.858781,0,0,,,3401.858781,273088.362261
36,0,20919663.3783,31337.672443,10569,563,R572,Barona Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California",J54572,true,PAC,Pacific,Southern California Agency,false,,,,Barona Group of the Barona Reservation,CA,San Diego CA,5903,0,0,0,143,53.3,3.3,28,6916,573,450,Executive Order 1883,,Tribal council headed by a chairman,Tourism; government,true,County hospital in El Cajon 17 miles south,8.077094,5169.248756,J54,,,31337.672509,0,0,,,31337.672509,20919663.5125
37,0,2988814.5439,8417.081819,10580,552,R572,Barona Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,CENSUS2000,"1:500,000","Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California",J54572,true,PAC,Pacific,Southern California Agency,false,,,,Barona Group of the Barona Reservation,CA,San Diego CA,5903,0,0,0,143,53.3,3.3,28,6916,573,450,Executive Order 1883,,Tribal council headed by a chairman,Tourism; government,true,County hospital in El Cajon 17 miles south,1.153983,738.535936,J54,,,8417.081882,0,0,,,8417.081882,2988814.47067
38,0,1531061.68473,4758.414772,9,11194,Z033,Barrow,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Barrow Inupiat Traditional Government (formerly Native Village of Barrow),E03033,true,ALA,Alaska,Fairbanks Field Office,true,OSGT033,,Arctic Slope Regional Corporation,Ukpeagvi I-upiat Corporation,AK,North Slope Borough AK,215810,0,0,0,1801,59.9,5.5,11.5,13944,3469,0,Alaska Native Claims Settlement Act (1971),Incorporated as a first-class city (1959),Traditional council,Government; retail; mining (oil),true,Public Health Service Hospital,0.003782,378.325349,E03,,,4758.414757,0,0,,,4758.414757,1531061.67452
39,0,2703254.89413,13937.135472,6255,4944,RU40,Battle Mountain Band,AIR,American Indian Reservation,TIGER95,"1:100,000",Te-Moak Tribe of Western Shoshone Indians of Nevada - Battle Mountain Band,H64640,true,WES,Western,Eastern Nevada Field Office,false,,,,Elko Band Colony,NV,"Elko, NV",193,0,0,193,585,6,0,0,7000,0,1143,"Executive Order in March 25, 1918","1934 IRA, constitution ratified on August 26, 1982",7 member Community Council,"Agriculture, ranching, government as employer, mining employment, retail/service businesses, tourism",false,"IHS clinic, hospital and ambulance service provided by Elko County",1.043727,667.973112,H64,,,13937.135647,0,0,,,13937.135647,2703254.94287
40,0,8962635.97611,36535.218121,1484,9719,R470,Bay Mills Reservation,AIR,American Indian Reservation,LTM,"1:24,000","Bay Mills Indian Community, Michigan",F60470,true,MID,Midwest,Michigan Agency,false,,,,"Bay Mills Indian Community, Michigan",MI,Chippewa  MI,2209,2209,0,2209,285,95,20,12.28,0,605,915,"Appropriations Act of June 19, 1860","IRA of 1934, constitution approved on November 14, 1936",5 member Executive Council,"Fisheries, construction, government as employer, tourism",true,"Health care services (doctor, dentist, two nurses, ambulance)",3.46048,2214.667981,F60,,,36535.218857,0,0,,,36535.218857,8962635.91455
41,0,3013728.0943,12492.343409,1483,9720,R470,Bay Mills Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,CENSUS2000,"1:500,000","Bay Mills Indian Community, Michigan",F60470,true,MID,Midwest,Michigan Agency,false,,,,"Bay Mills Indian Community, Michigan",MI,Chippewa  MI,2209,2209,0,2209,285,95,20,12.28,0,605,915,"Appropriations Act of June 19, 1860","IRA of 1934, constitution approved on November 14, 1936",5 member Executive Council,"Fisheries, construction, government as employer, tourism",true,"Health care services (doctor, dentist, two nurses, ambulance)",1.163603,744.692839,F60,,,12492.343466,0,0,,,12492.343466,3013728.15803
42,0,1535314.10774,4545.802163,110,11093,Z038,Beaver,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Beaver Village,E03038,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.",Beaver Kwit'chin Corporation,AK,unorganized borough AK,136725,0,0,0,31,54.2,0,22.6,8328,103,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Traditional council headed by a chief,Subsistence; government,false,clinic,21.608482,379.376175,E03,,,4545.802183,0,0,,,4545.802183,1535314.12028
43,0,1532474.85368,4403.666612,178,11025,Z041,Belkofski,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Belkofski,E01041,true,ALA,Alaska,Anchorage Field Office,true,OSGT811,"Aleutian/Pribilof Islands Assoc., Inc.",Aleut Corporation,Belkofski Corporation,AK,Aleutians East Borough AK,77188,0,0,0,0,0,0,0,0,0,0,Alaska Native Claims Settlement Act (1971),Unincorporated,none,Subsistence,false,none,2.227901,378.674292,E01,,,4403.666638,0,0,,,4403.666638,1532474.86741
44,0,572470.447345,3028.896473,7195,4003,R520,Benton Paiute Rancheria,AIR,American Indian Reservation,TIGER95,"1:100,000","Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",J51520,true,PAC,Pacific,Central California Agency,false,,,,Utu Utu Gwaitu Paiute,CA,Mono CA,162,0,0,160,16,42.9,5.7,0,4834,75,0,Executive Order 1915,IRA constitution approved 1976,Tribal Council headed by a chairperson; General Council,Government; tourism,false,clinic in Bishop 35 miles away,0.221032,141.457716,J51,,,3028.896477,0,0,,,3028.896477,572470.449743
45,0,337724.288175,3388.605242,6282,4917,R504,Berry Creek Rancheria,AIR,American Indian Reservation,USBR,-8888,Berry Creek Rancheria of Maidu Indians of California,J51504,true,PAC,Pacific,Central California Agency,false,,,,Berry Creek Rancheria of Maidu Indians,CA,Butte CA,65,65,0,0,143,0,0,27.3,0,0,304,U.S. Govt purchase 32 acres 1916; tribe purchased 33 ac 1987,Articles of Association approved 1977,General Council headed by a chairperson,Forestry; government,true,Medical facilities available in Oroville,0.130396,83.451818,J51,,,3388.605386,0,0,,,3388.605386,337724.315112
46,0,1534018.15916,4442.668365,93,11110,Z043,Bethel,ANV,Alaska Native Village,TIGER95,"1:100,000",Orutsararmuit Native Village (aka Bethel),E02043,true,ALA,Alaska,Bethel Field Office,false,,,Calista Corporation,Bethel Native Corporation,AK,unorganized borough AK,161280,0,0,0,2218,68.2,5.9,9,9144,4674,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1957),Traditional council presided over by a chairman,Subsistence; construction; fishing; government; retail; manufacturing; tourism; transportation,false,Yukon-Kuskokwim Delta Regional Hospital,40.584842,379.055812,E02,,,4442.668413,0,0,,,4442.668413,1534018.18088
